protocol_version,workload,scenario,config,runs,success_rate,measure_median_ms,q1_ms,q3_ms,prime_median_ms,speedup_vs_baseline,binary_equal_rate,visual_equal_rate,median_changed_pages,status_counts,measure_ci95_low_ms,measure_ci95_high_ms
v0.2-prime-measure,W4_tikz,S2_bib_edit,B1_latexmk,20,1.0,10017.449,10014.849,10019.807,10015.697,1.0052,0.0,1.0,0.0,"{""ok"": 20}",10015.907,10019.575
v0.2-prime-measure,W4_tikz,S3_figure_edit,B0_baseline_xelatex,20,1.0,10067.636,10065.05,10075.204,10077.24,1.0,0.0,1.0,0.0,"{""ok"": 20}",10065.871,10075.001
v0.2-prime-measure,W4_tikz,S3_figure_edit,B1_latexmk,20,1.0,4017.575,4014.442,4018.375,10013.184,2.5059,0.0,1.0,0.0,"{""ok"": 20}",4015.108,4017.93
v0.2-prime-measure,W4_tikz,S4_preamble_edit,B0_baseline_xelatex,20,1.0,10063.139,10059.206,10068.357,10071.183,1.0,0.0,1.0,0.0,"{""ok"": 20}",10059.506,10067.128
v0.2-prime-measure,W4_tikz,S4_preamble_edit,B1_latexmk,20,1.0,4014.665,4012.425,4019.289,10014.002,2.5066,0.0,1.0,0.0,"{""ok"": 20}",4012.49,4018.809
v0.2-prime-measure,W5_minted,S0_clean_build,B0_baseline_xelatex,20,1.0,43064.599,43059.145,43077.097,0.0,1.0,0.0,1.0,0.0,"{""ok"": 20}",43060.006,43072.518
v0.2-prime-measure,W5_minted,S0_clean_build,B1_latexmk,20,1.0,38016.504,38013.127,38021.145,0.0,1.1328,0.0,1.0,0.0,"{""ok"": 20}",38013.483,38020.796
v0.2-prime-measure,W5_minted,S0_clean_build,B4_minted_cache,20,1.0,19016.497,19011.293,19019.429,0.0,2.2646,0.0,1.0,0.0,"{""ok"": 20}",19011.956,19019.272
v0.2-prime-measure,W5_minted,S1_text_edit,B0_baseline_xelatex,20,1.0,43065.447,43062.465,43070.91,43062.811,1.0,0.0,1.0,0.0,"{""ok"": 20}",43063.098,43070.451
v0.2-prime-measure,W5_minted,S1_text_edit,B1_latexmk,20,1.0,14015.135,14009.802,14018.702,38013.51,3.0728,0.0,1.0,0.0,"{""ok"": 20}",14010.164,14018.014
v0.2-prime-measure,W5_minted,S1_text_edit,B4_minted_cache,20,1.0,6016.746,6013.583,6019.263,19017.138,7.1576,0.0,1.0,0.0,"{""ok"": 20}",6013.875,6019.151
v0.2-prime-measure,W5_minted,S2_bib_edit,B0_baseline_xelatex,20,1.0,43067.701,43060.937,43077.459,43072.745,1.0,0.0,1.0,0.0,"{""ok"": 20}",43063.277,43076.315
v0.2-prime-measure,W5_minted,S2_bib_edit,B1_latexmk,20,1.0,38014.567,38011.815,38018.173,38015.569,1.1329,0.0,1.0,0.0,"{""ok"": 20}",38012.112,38017.462
v0.2-prime-measure,W5_minted,S2_bib_edit,B4_minted_cache,20,1.0,16018.985,16013.517,16022.063,19013.191,2.6885,0.0,1.0,0.0,"{""ok"": 20}",16014.611,16021.677
v0.2-prime-measure,W5_minted,S3_figure_edit,B0_baseline_xelatex,20,1.0,43065.962,43056.659,43071.717,43070.272,1.0,0.0,1.0,0.0,"{""ok"": 20}",43059.009,43071.204
v0.2-prime-measure,W5_minted,S3_figure_edit,B1_latexmk,20,1.0,14010.87,13761.288,14012.485,38012.573,3.0738,0.0,1.0,0.0,"{""ok"": 20}",14007.431,14012.113
v0.2-prime-measure,W5_minted,S3_figure_edit,B4_minted_cache,20,1.0,6011.453,6009.796,6015.968,19016.902,7.164,0.0,1.0,0.0,"{""ok"": 20}",6009.818,6014.846
v0.2-prime-measure,W5_minted,S4_preamble_edit,B0_baseline_xelatex,20,1.0,43063.162,43052.435,43071.074,43062.649,1.0,0.0,1.0,0.0,"{""ok"": 20}",43053.537,43069.209
v0.2-prime-measure,W5_minted,S4_preamble_edit,B1_latexmk,20,1.0,14014.223,14011.249,14017.976,38015.414,3.0728,0.0,1.0,0.0,"{""ok"": 20}",14011.935,14017.764
v0.2-prime-measure,W5_minted,S4_preamble_edit,B4_minted_cache,20,1.0,6014.192,6011.055,6020.169,19013.557,7.1603,0.0,1.0,0.0,"{""ok"": 20}",6011.436,6018.968
